slab_id,width_mm,gauge_mm,hardness,steel_grade,rolling_length_m,weight_t,priority,power_per_ton
0,1142.0,9.47,3,G1,181.4,15.4,1,133.94
1,1039.0,11.62,2,G4,161.4,15.3,2,183.24
2,989.0,4.15,3,G0,474.9,15.3,1,108.3
3,1038.0,5.63,4,G7,370.6,17.0,3,216.26
4,1579.0,7.69,2,G6,235.0,22.4,3,205.38
5,990.0,7.18,1,G5,442.7,24.7,3,189.36
6,841.0,2.22,1,G0,2040.1,29.9,1,104.44
7,1595.0,10.9,1,G0,211.8,28.9,3,121.8
8,976.0,3.6,2,G0,841.1,23.2,1,107.2
9,1220.0,5.1,2,G0,501.6,24.5,1,110.2
10,945.0,8.33,2,G2,268.6,16.6,3,146.66
11,1117.0,5.1,4,G6,476.3,21.3,3,200.2
12,974.0,4.78,1,G4,432.3,15.8,2,169.56
13,1567.0,3.58,3,G7,556.3,24.5,3,212.16
14,817.0,3.08,5,G4,977.0,19.3,2,166.16
15,1165.0,6.18,1,G4,408.7,23.1,2,172.36
16,1225.0,2.02,5,G2,1266.4,24.6,2,134.04
17,934.0,1.53,2,G3,2629.7,29.5,3,148.06
18,944.0,2.15,1,G3,1223.9,19.5,3,149.3
19,1037.0,11.22,3,G2,175.2,16.0,1,152.44
20,1454.0,7.66,1,G0,199.0,17.4,2,115.32
21,836.0,6.16,4,G2,608.5,24.6,3,142.32
22,876.0,2.57,2,G1,1697.5,30.0,2,120.14
23,1310.0,2.51,3,G3,864.0,22.3,2,150.02
24,1068.0,8.02,1,G1,440.2,29.6,2,131.04
25,1423.0,6.52,3,G4,350.1,25.5,3,173.04
26,1460.0,3.34,3,G0,402.3,15.4,1,106.68
27,896.0,12.67,2,G4,286.1,25.5,1,185.34
28,905.0,12.51,2,G6,335.3,29.8,2,215.02
29,1316.0,7.66,4,G2,275.5,21.8,1,145.32
30,1121.0,10.55,5,G7,227.3,21.1,3,226.1
31,1327.0,5.14,5,G5,485.6,26.0,3,185.28
32,1132.0,6.26,2,G4,496.2,27.6,2,172.52
33,1218.0,9.05,5,G5,264.6,22.9,1,193.1
34,828.0,3.35,4,G6,1263.0,27.5,3,196.7
35,1515.0,5.04,5,G0,410.4,24.6,1,110.08
36,1460.0,6.54,3,G5,257.5,19.3,3,188.08
37,1181.0,5.96,5,G4,474.2,26.2,3,171.92
38,877.0,10.3,2,G4,229.9,16.3,3,180.6
39,919.0,8.58,4,G2,405.5,25.1,1,147.16
40,1463.0,3.65,3,G7,458.0,19.2,3,212.3
41,1442.0,12.44,5,G6,161.9,22.8,3,214.88
42,1583.0,9.94,4,G7,236.4,29.2,3,224.88
43,1548.0,11.64,5,G7,193.0,27.3,3,228.28
44,1521.0,9.56,1,G1,165.6,18.9,1,134.12
45,1093.0,10.49,1,G5,283.3,25.5,3,195.98
46,1202.0,11.3,1,G5,216.7,23.1,1,197.6
47,1129.0,5.48,3,G3,529.2,25.7,2,155.96
48,1444.0,4.03,3,G7,374.3,17.1,1,213.06
49,1543.0,4.34,4,G2,308.2,16.2,3,138.68
50,1510.0,7.25,1,G0,288.6,24.8,3,114.5
51,1186.0,6.48,1,G1,316.6,19.1,3,127.96
52,1369.0,1.51,3,G2,1294.1,21.0,3,133.02
53,891.0,4.97,5,G6,819.9,28.5,1,199.94
54,913.0,9.8,5,G7,410.0,28.8,3,224.6
55,1523.0,9.72,2,G5,164.4,19.1,3,194.44
56,1011.0,1.28,3,G0,2264.1,23.0,3,102.56
57,1568.0,6.3,1,G5,380.4,29.5,2,187.6
58,866.0,4.26,2,G0,593.9,17.2,2,108.52
59,1188.0,11.26,1,G7,277.1,29.1,2,227.52
60,958.0,1.68,1,G0,1717.6,21.7,1,103.36
61,1343.0,2.37,4,G7,972.6,24.3,1,209.74
62,1469.0,2.35,5,G6,575.7,15.6,3,194.7
63,1265.0,10.08,3,G2,234.8,23.5,3,150.16
64,1484.0,11.26,3,G3,160.9,21.1,3,167.52
65,1093.0,11.41,5,G2,205.3,20.1,2,152.82
66,1033.0,3.97,3,G6,580.9,18.7,1,197.94
67,1068.0,6.63,4,G1,386.8,21.5,1,128.26
68,1189.0,2.78,2,G3,1025.1,26.6,2,150.56
69,1168.0,5.58,4,G1,572.7,29.3,3,126.16
70,1108.0,3.97,1,G2,666.1,23.0,3,137.94
71,1343.0,1.98,2,G6,1427.6,29.8,3,193.96
72,1074.0,7.24,1,G3,275.2,16.8,3,159.48
73,1321.0,5.99,2,G3,412.1,25.6,1,156.98
74,1070.0,9.18,4,G4,199.7,15.4,1,178.36
75,1049.0,8.41,3,G3,348.0,24.1,3,161.82
76,1568.0,11.97,2,G4,167.0,24.6,3,183.94
77,1165.0,6.98,1,G2,463.7,29.6,1,143.96
78,1049.0,3.06,2,G2,1000.1,25.2,2,136.12
79,1355.0,2.05,2,G3,1151.1,25.1,3,149.1
80,988.0,1.73,3,G5,1811.1,24.3,1,178.46
81,1022.0,11.62,4,G6,263.9,24.6,3,213.24
82,1547.0,9.62,5,G6,157.5,18.4,3,209.24
83,1522.0,2.77,3,G4,846.0,28.0,1,165.54
84,1055.0,6.77,1,G6,351.4,19.7,3,203.54
85,1264.0,10.68,1,G3,145.3,15.4,1,166.36
86,1086.0,12.54,4,G4,145.9,15.6,1,185.08
87,1530.0,5.56,1,G6,284.5,19.0,3,201.12
88,1292.0,11.16,5,G4,190.8,21.6,1,182.32
89,1146.0,6.33,4,G1,302.0,17.2,1,127.66
90,1473.0,5.44,4,G2,345.0,21.7,1,140.88
91,1503.0,10.22,3,G0,125.2,15.1,2,120.44
92,1411.0,8.64,1,G6,280.0,26.8,2,207.28
93,1267.0,1.97,1,G1,918.7,18.0,1,118.94
94,1058.0,11.98,5,G4,286.4,28.5,1,183.96
95,1411.0,4.56,3,G3,362.3,18.3,3,154.12
96,844.0,6.94,1,G5,380.6,17.5,3,188.88
97,1523.0,6.13,1,G2,249.7,18.3,1,142.26
98,1461.0,3.55,4,G4,618.9,25.2,2,167.1
99,1102.0,12.07,1,G0,230.8,24.1,2,124.14
100,1378.0,5.73,2,G0,448.5,27.8,3,111.46
101,1160.0,8.01,4,G1,337.3,24.6,2,131.02
102,1365.0,10.48,1,G3,230.6,25.9,3,165.96
103,1068.0,7.38,3,G5,412.1,25.5,1,189.76
104,1206.0,12.53,4,G4,195.6,23.2,2,185.06
105,1210.0,1.88,5,G4,1545.6,27.6,3,163.76
106,1522.0,6.47,4,G2,219.9,17.0,3,142.94
107,959.0,3.92,3,G1,779.4,23.0,1,122.84
108,826.0,11.64,4,G5,239.8,18.1,2,198.28
109,1299.0,11.24,3,G7,205.9,23.6,2,227.48
110,1199.0,5.75,2,G4,528.5,28.6,3,171.5
111,1323.0,3.0,3,G6,818.4,25.5,1,196.0
112,1093.0,9.29,4,G2,228.3,18.2,1,148.58
113,1418.0,11.44,1,G4,202.6,25.8,1,182.88
114,967.0,7.48,2,G4,459.7,26.1,1,174.96
115,1153.0,4.49,3,G1,691.5,28.1,1,123.98
116,861.0,7.83,5,G1,512.1,27.1,3,130.66
117,1418.0,12.14,4,G3,213.1,28.8,3,169.28
118,1551.0,11.23,2,G0,130.2,17.8,1,122.46
119,1419.0,8.63,5,G1,186.2,17.9,2,132.26
120,1210.0,9.43,1,G5,284.7,25.5,1,193.86
121,1455.0,1.84,2,G6,1061.1,22.3,2,193.68
122,1431.0,4.48,5,G5,536.5,27.0,2,183.96
123,1458.0,7.88,5,G1,209.6,18.9,3,130.76
124,1346.0,9.12,3,G0,240.8,23.2,2,118.24
125,1297.0,7.85,3,G7,289.0,23.1,2,220.7
126,968.0,7.45,1,G7,300.3,17.0,3,219.9
127,1336.0,4.85,4,G6,397.1,20.2,3,199.7
128,879.0,2.17,2,G5,1936.8,29.0,2,179.34
129,1007.0,3.22,5,G5,801.4,20.4,1,181.44
130,844.0,7.84,3,G4,435.1,22.6,1,175.68
131,1364.0,3.93,3,G0,572.7,24.1,3,107.86
132,916.0,8.98,1,G4,351.5,22.7,3,177.96
133,890.0,4.92,1,G1,837.9,28.8,3,124.84
134,1117.0,8.87,1,G1,298.3,23.2,2,132.74
135,1512.0,9.71,1,G6,253.4,29.2,3,209.42
136,1576.0,7.49,3,G3,175.9,16.3,1,159.98
137,1355.0,5.73,3,G0,479.1,29.2,3,111.46
138,873.0,5.17,4,G2,573.0,20.3,1,140.34
139,949.0,6.97,5,G0,331.3,17.2,3,113.94
140,1026.0,8.63,4,G4,423.0,29.4,2,177.26
141,1385.0,1.69,3,G4,1306.2,24.0,3,163.38
142,882.0,12.08,3,G2,181.7,15.2,3,154.16
143,961.0,4.46,1,G6,603.3,20.3,3,198.92
144,1345.0,5.45,2,G5,283.3,16.3,2,185.9
145,889.0,9.42,2,G7,322.5,21.2,3,223.84
146,1358.0,9.95,3,G7,228.2,24.2,1,224.9
147,1406.0,7.21,2,G7,247.6,19.7,2,219.42
148,1441.0,3.09,2,G5,443.4,15.5,3,181.18
149,807.0,11.19,3,G6,410.5,29.1,3,212.38
150,1563.0,12.19,5,G0,171.8,25.7,1,124.38
151,1124.0,4.07,4,G4,802.0,28.8,1,168.14
152,860.0,1.22,5,G2,1979.1,16.3,2,132.44
153,1129.0,9.8,2,G1,186.5,16.2,3,134.6
154,1096.0,11.06,5,G0,187.1,17.8,3,122.12
155,1409.0,7.51,2,G0,210.7,17.5,3,115.02
156,1442.0,7.31,3,G1,255.0,21.1,3,129.62
157,1064.0,8.48,2,G3,251.3,17.8,3,161.96
158,1213.0,2.78,1,G2,672.4,17.8,2,135.56
159,1012.0,10.67,1,G3,320.9,27.2,1,166.34
160,1376.0,7.75,1,G7,313.0,26.2,1,220.5
161,1467.0,8.84,2,G1,228.9,23.3,3,132.68
162,1441.0,12.4,5,G6,198.2,27.8,1,214.8
163,927.0,9.99,4,G7,396.2,28.8,3,224.98
164,1055.0,4.34,2,G3,745.6,26.8,1,153.68
165,1489.0,5.47,2,G5,337.8,21.6,3,185.94
166,993.0,4.41,5,G5,724.3,24.9,1,183.82
167,835.0,6.55,5,G0,652.2,28.0,3,113.1
168,1107.0,5.41,5,G6,416.9,19.6,3,200.82
169,1482.0,10.44,5,G5,160.6,19.5,2,195.88
170,1496.0,4.68,4,G6,464.0,25.5,3,199.36
171,1067.0,6.1,3,G1,563.7,28.8,2,127.2
172,1545.0,10.97,3,G4,124.8,16.6,1,181.94
173,1369.0,7.82,5,G7,199.9,16.8,3,220.64
174,1032.0,4.23,3,G1,440.6,15.1,1,123.46
175,1362.0,11.35,1,G3,149.2,18.1,3,167.7
176,1245.0,6.7,1,G3,421.5,27.6,1,158.4
177,942.0,9.42,5,G2,301.5,21.0,3,148.84
178,1336.0,8.56,4,G1,242.8,21.8,2,132.12
179,996.0,4.43,3,G2,655.4,22.7,3,138.86
180,1443.0,4.49,3,G2,383.4,19.5,2,138.98
181,1292.0,5.81,3,G0,405.6,23.9,3,111.62
182,968.0,9.68,2,G5,216.2,15.9,3,194.36
183,1015.0,3.2,4,G6,682.4,17.4,1,196.4
184,1243.0,8.09,4,G1,196.4,15.5,3,131.18
185,1460.0,4.51,1,G0,410.1,21.2,1,109.02
186,893.0,11.41,5,G4,243.8,19.5,3,182.82
187,1336.0,3.87,2,G0,446.0,18.1,2,107.74
188,1128.0,2.8,1,G2,621.1,15.4,1,135.6
189,1071.0,4.88,4,G6,643.5,26.4,1,199.76
190,807.0,8.54,5,G5,397.4,21.5,1,192.08
191,839.0,3.14,2,G6,1117.0,23.1,1,196.28
192,838.0,5.63,3,G2,696.6,25.8,2,141.26
193,1179.0,9.42,3,G7,336.1,29.3,2,223.84
194,1073.0,7.57,1,G2,301.1,19.2,1,145.14
195,1111.0,5.29,3,G1,580.9,26.8,3,125.58
196,892.0,2.61,5,G5,1149.1,21.0,3,180.22
197,921.0,8.08,4,G3,289.3,16.9,1,161.16
198,1077.0,5.22,2,G0,605.0,26.7,2,110.44
199,1158.0,11.65,3,G5,246.5,26.1,1,198.3
200,850.0,2.95,5,G4,1493.6,29.4,3,165.9
201,962.0,6.22,4,G3,555.7,26.1,1,157.44
202,1061.0,4.94,5,G3,430.2,17.7,1,154.88
203,949.0,7.19,4,G5,295.0,15.8,3,189.38
204,1582.0,9.89,5,G1,140.0,17.2,1,134.78
205,947.0,6.3,2,G1,439.9,20.6,3,127.6
206,1394.0,5.12,4,G3,367.7,20.6,1,155.24
207,1010.0,10.9,1,G3,194.4,16.8,2,166.8
208,1265.0,6.1,1,G0,424.3,25.7,1,112.2
209,1420.0,3.11,4,G6,640.4,22.2,2,196.22
210,859.0,6.92,5,G3,364.3,17.0,1,158.84
211,1085.0,5.16,1,G2,628.0,27.6,2,140.32
212,1132.0,6.67,3,G4,323.9,19.2,2,173.34
213,1091.0,4.64,2,G0,697.1,27.7,1,109.28
214,939.0,12.66,4,G0,289.3,27.0,1,125.32
215,1431.0,5.52,4,G7,300.0,18.6,2,216.04
216,1028.0,12.39,5,G2,151.0,15.1,1,154.78
217,900.0,9.63,2,G2,360.1,24.5,2,149.26
218,1103.0,10.1,5,G4,252.7,22.1,3,180.2
219,1477.0,8.19,1,G6,293.8,27.9,3,206.38
220,967.0,4.76,5,G4,509.2,18.4,2,169.52
221,1167.0,7.53,5,G1,260.9,18.0,3,130.06
222,1089.0,10.26,2,G2,242.8,21.3,3,150.52
223,1401.0,2.19,4,G7,1029.7,24.8,3,209.38
224,1522.0,5.45,3,G3,426.9,27.8,1,155.9
225,1435.0,1.8,1,G1,1104.7,22.4,1,118.6
226,1050.0,2.58,3,G6,1133.3,24.1,2,195.16
227,1494.0,5.38,5,G1,328.1,20.7,3,125.76
228,1362.0,9.54,3,G5,186.3,19.0,1,194.08
229,1182.0,6.73,5,G3,331.5,20.7,3,158.46
230,1026.0,3.71,2,G4,883.5,26.4,2,167.42
231,975.0,1.55,3,G0,2225.3,26.4,1,103.1
232,1380.0,1.41,3,G6,1748.0,26.7,1,192.82
233,1042.0,3.81,4,G2,484.5,15.1,2,137.62
234,1284.0,4.98,2,G5,408.4,20.5,3,184.96
235,1555.0,6.85,1,G4,318.1,26.6,1,173.7
236,840.0,3.85,5,G4,894.2,22.7,1,167.7
237,1139.0,10.71,1,G2,206.8,19.8,3,151.42
238,963.0,6.39,1,G6,395.4,19.1,2,202.78
239,1131.0,9.11,3,G7,241.1,19.5,3,223.22
240,1196.0,3.09,2,G5,930.7,27.0,3,181.18
241,1282.0,8.72,4,G0,288.3,25.3,3,117.44
242,1141.0,11.78,5,G7,144.1,15.2,3,228.56
243,1330.0,8.61,4,G2,236.9,21.3,1,147.22
244,1201.0,2.61,1,G6,1024.1,25.2,1,195.22
245,1434.0,1.6,3,G2,921.7,16.6,2,133.2
246,1470.0,6.6,3,G2,252.1,19.2,2,143.2
247,1573.0,8.16,5,G3,288.8,29.1,2,161.32
248,915.0,8.48,4,G7,334.9,20.4,1,221.96
249,1164.0,1.92,3,G2,1550.4,27.2,1,133.84
250,1495.0,11.72,3,G2,171.6,23.6,2,153.44
251,1388.0,4.56,2,G1,310.0,15.4,1,124.12
252,983.0,8.1,5,G4,345.6,21.6,2,176.2
253,838.0,11.82,5,G5,195.5,15.2,1,198.64
254,1486.0,11.85,4,G1,190.3,26.3,1,138.7
255,925.0,3.44,2,G5,692.6,17.3,1,181.88
256,1452.0,3.28,4,G2,724.9,27.1,2,136.56
257,1468.0,4.18,3,G2,336.3,16.2,1,138.36
258,1343.0,12.38,5,G6,130.3,17.0,1,214.76
259,1021.0,12.68,3,G3,267.6,27.2,2,170.36
260,942.0,1.21,3,G4,2168.2,19.4,3,162.42
261,1392.0,11.22,2,G1,196.6,24.1,3,137.44
262,1213.0,12.44,3,G0,158.7,18.8,2,124.88
263,1591.0,1.33,2,G3,1745.8,29.0,2,147.66
264,1132.0,6.86,5,G5,374.0,22.8,3,188.72
265,1371.0,12.2,3,G0,158.4,20.8,3,124.4
266,902.0,5.64,1,G5,573.4,22.9,3,186.28
267,1421.0,6.58,1,G6,344.7,25.3,3,203.16
268,926.0,9.25,4,G7,446.2,30.0,3,223.5
269,1548.0,12.0,1,G5,113.2,16.5,2,199.0
270,1531.0,3.64,3,G6,555.5,24.3,1,197.28
271,918.0,9.88,5,G2,328.7,23.4,3,149.76
272,1531.0,10.92,1,G1,119.6,15.7,2,136.84
273,1300.0,3.15,5,G1,703.0,22.6,3,121.3
274,1261.0,9.82,5,G6,253.1,24.6,2,209.64
275,1466.0,4.45,4,G2,558.5,28.6,1,138.9
276,1460.0,1.05,1,G2,1429.3,17.2,1,132.1
277,1160.0,11.05,2,G0,288.2,29.0,3,122.1
278,1578.0,9.39,3,G0,195.2,22.7,2,118.78
279,981.0,11.39,3,G7,269.1,23.6,1,227.78
280,1517.0,4.58,1,G1,546.4,29.8,3,124.16
281,875.0,11.16,2,G0,362.7,27.8,2,122.32
282,1022.0,6.3,2,G1,439.2,22.2,3,127.6
283,1260.0,2.87,1,G6,655.2,18.6,2,195.74
284,956.0,5.91,5,G3,365.3,16.2,3,156.82
285,984.0,9.97,2,G4,346.7,26.7,1,179.94
286,879.0,1.61,3,G5,2196.4,24.4,3,178.22
287,839.0,6.77,2,G6,565.2,25.2,2,203.54
288,1004.0,5.63,1,G4,504.8,22.4,3,171.26
289,1196.0,8.89,1,G4,347.5,29.0,2,177.78
290,947.0,4.64,4,G2,576.9,19.9,2,139.28
291,1002.0,5.86,4,G4,559.7,25.8,2,171.72
292,1174.0,5.31,1,G6,570.1,27.9,1,200.62
293,1466.0,8.15,4,G5,219.6,20.6,2,191.3
294,1038.0,6.99,4,G7,496.9,28.3,2,218.98
295,1363.0,1.71,2,G1,983.8,18.0,2,118.42
296,1024.0,6.45,5,G1,497.6,25.8,1,127.9
297,1032.0,1.5,1,G7,1407.2,17.1,1,208.0
298,1034.0,9.74,3,G0,301.0,23.8,2,119.48
299,1547.0,10.21,3,G0,174.2,21.6,1,120.42
300,1561.0,11.25,5,G0,198.0,27.3,3,122.5
301,1539.0,4.69,2,G7,342.4,19.4,2,214.38
302,1119.0,1.67,1,G2,1097.5,16.1,1,133.34
303,1082.0,6.44,1,G0,473.5,25.9,1,112.88
304,845.0,2.81,2,G5,810.1,15.1,3,180.62
305,1388.0,9.82,1,G5,252.3,27.0,1,194.64
306,1213.0,9.26,5,G7,176.9,15.6,3,223.52
307,875.0,3.46,1,G0,1119.3,26.6,2,106.92
308,971.0,9.35,4,G6,261.0,18.6,2,208.7
309,951.0,9.58,2,G0,311.8,22.3,3,119.16
310,1006.0,2.91,4,G3,765.9,17.6,1,150.82
311,1215.0,6.58,3,G1,462.1,29.0,1,128.16
312,1491.0,7.37,3,G0,282.9,24.4,2,114.74
313,1238.0,4.7,4,G4,332.8,15.2,1,169.4
314,1241.0,7.87,2,G6,254.3,19.5,1,205.74
315,1000.0,1.58,1,G2,1451.3,18.0,3,133.16
316,902.0,9.98,5,G7,259.0,18.3,3,224.96
317,1572.0,9.61,3,G6,176.2,20.9,2,209.22
318,1282.0,1.94,4,G4,1034.6,20.2,3,163.88
319,964.0,11.56,2,G5,192.0,16.8,2,198.12
320,1375.0,11.0,4,G5,138.1,16.4,3,197.0
321,983.0,4.43,1,G3,664.0,22.7,3,153.86
322,1523.0,1.8,1,G7,729.6,15.7,2,208.6
323,1566.0,1.09,2,G2,2074.7,27.8,1,132.18
324,1493.0,9.12,4,G2,241.4,25.8,2,148.24
325,1580.0,2.93,2,G1,795.2,28.9,2,120.86
326,1472.0,3.29,2,G1,570.8,21.7,3,121.58
327,989.0,6.04,3,G1,507.5,23.8,2,127.08
328,1146.0,3.66,2,G5,783.6,25.8,2,182.32
329,1309.0,11.01,5,G4,137.9,15.6,3,182.02
330,863.0,2.12,4,G4,1148.9,16.5,2,164.24
